$GNRMC,124225.00,A,5552.32676,N,03800.08891,E,0.437,,120625,,,A,V*16
$GNVTG,,T,,M,0.437,N,0.809,K,A*3C

$GNGGA,124225.00,5552.32676,N,03800.08891,E,1,09,1.03,155.8,M,12.9,M,,*4A
$GNGSA,A,3,08,01,02,32,,,,,,,,,1.54,1.03,1.13,1*0A
$GNGSA,A,3,88,86,71,87,80,,,,,,,,1.54,1.03,1.13,2*0C
$GNGSA,A,3,,,,,,,,,,,,,1.54,1.03,1.13,3*02
$GPGSV,4,1,13,01,58,286,25,02,71,210,21,03,30,266,,08,16,211,11,0*6E
$GPGSV,4,2,13,10,26,085,07,14,00,298,,17,21,321,,19,02,340,,0*60
$GPGSV,4,3,13,22,07,314,,24,01,017,15,28,23,125,15,31,07,148,14,0*60
$GPGSV,4,4,13,32,56,074,17,0*50
$GLGSV,2,1,08,70,28,051,,71,78,047,12,72,46,230,,79,16,002,,0*7F
$GLGSV,2,2,08,80,15,054,12,86,51,172,26,87,70,286,14,88,14,326,21,0*75
$GAGSV,1,1,00,0*74
$GNGLL,5552.32676,N,03800.08891,E,124225.00,A,A*77

